block 1000, total 42000, active 18169, size 12, leak 218028.
block 1000, total 43000, active 19103, size 12, leak 229236.
block 1000, total 51000, active 20420, size 12, leak 245040.
block 1000, total 53000, active 22266, size 12, leak 267192.
block 1000, total 43000, active 19103, size 12, leak 229236.
block 1000, total 43000, active 19103, size 12, leak 229236.
block 1000, total 43000, active 19103, size 12, leak 229236.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 28000, active 12000, size 12, leak 144000.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
block 1000, total 44000, active 19123, size 12, leak 229476.
